AMELIA ,5054
OLIVIA ,4938
LILY ,4761
JESSICA ,3984
EMILY ,3974
SOPHIE ,3923
RUBY ,3702
GRACE ,3691
AVA ,3621
ISABELLA ,3464
EVIE ,3385
CHLOE ,3347
MIA ,3346
POPPY ,2932
ISLA ,2849
ELLA ,2783
ISABELLE ,2719
SOPHIA ,2661
FREYA ,2619
DAISY ,2458
CHARLOTTE ,2390
MAISIE ,2230
LUCY ,2228
PHOEBE ,2008
SCARLETT ,1987
HOLLY ,1971
LILLY ,1950
ELLIE ,1893
MEGAN ,1799
LAYLA ,1780
LOLA ,1777
IMOGEN ,1773
EVA ,1714
SUMMER ,1711
MILLIE ,1641
SIENNA ,1585
ALICE ,1554
ABIGAIL ,1493
ERIN ,1491
LACEY ,1475
HANNAH ,1462
JASMINE ,1429
FLORENCE ,1406
ELIZABETH ,1396
LEXI ,1324
MOLLY ,1322
SOFIA ,1249
MATILDA ,1225
EMMA ,1221
BROOKE ,1216
AMY ,1213
AMBER ,1201
GRACIE ,1162
AMELIE ,1128
ROSIE ,1124
LEAH ,1120
KATIE ,1105
MAYA ,1072
ELEANOR ,1049
GEORGIA ,1022
EMILIA ,1007
ELIZA ,955
FAITH ,914
BETHANY ,913
EVELYN ,871
ISABEL ,857
ANNA ,827
HOLLIE ,825
BELLA ,823
PAIGE ,811
HARRIET ,809
ESME ,797
ZARA ,790
LEXIE ,788
WILLOW ,772
ROSE ,764
MADISON ,760
JULIA ,759
ANNABELLE ,758
ISOBEL ,754
NIAMH ,733
MADDISON ,731
MARTHA ,723
SKYE ,717
LAUREN ,710
CAITLIN ,708
ELSIE ,699
KEIRA ,693
REBECCA ,693
SARAH ,663
HEIDI ,652
ZOE ,649
MARIA ,628
MARYAM ,616
AISHA ,613
TIA ,613
NICOLE ,605
KAYLA ,604
FRANCESCA ,602
LYDIA ,589
ALEXIS ,575
MAISY ,574
TILLY ,573
AIMEE ,554
MYA ,551
LIBBY ,542
ALEXANDRA ,534
VICTORIA ,534
